Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
2560,26,0.000124,0.000001,0.000124,0.000000
2560,24,0.000123,0.000001,0.000124,0.000001
2560,22,0.000126,0.000003,0.000126,0.000003
2560,20,0.000125,0.000001,0.000126,0.000001
2560,18,0.000086,0.000005,0.000086,0.000005
2560,16,0.000085,0.000003,0.000085,0.000003
2560,14,0.000083,0.000003,0.000084,0.000003
2560,12,0.000085,0.000003,0.000085,0.000003
2560,10,0.000083,0.000003,0.000083,0.000003
2560,8,0.000074,0.000003,0.000074,0.000003
2560,6,0.000073,0.000002,0.000073,0.000002
2560,4,0.000076,0.000003,0.000076,0.000003
2560,2,0.000080,0.000002,0.000080,0.000002
5120,-1,0.000188,0.000013,0.000188,0.000013
5120,100,0.000676,0.000006,0.000677,0.000007
5120,90,0.000676,0.000005,0.000676,0.000005
5120,80,0.000678,0.000006,0.000678,0.000006
5120,70,0.000422,0.000003,0.000422,0.000003
5120,60,0.000422,0.000003,0.000422,0.000003
5120,50,0.000422,0.000005,0.000424,0.000016
5120,40,0.000422,0.000004,0.000422,0.000004
5120,30,0.000279,0.000003,0.000279,0.000003
5120,28,0.000276,0.000002,0.000276,0.000002
5120,26,0.000275,0.000001,0.000275,0.000001
5120,24,0.000274,0.000001,0.000275,0.000001
5120,22,0.000273,0.000001,0.000274,0.000001
5120,20,0.000274,0.000001,0.000274,0.000001
5120,18,0.000203,0.000006,0.000203,0.000006
5120,16,0.000201,0.000004,0.000201,0.000004
5120,14,0.000203,0.000007,0.000203,0.000007
5120,12,0.000198,0.000003,0.000198,0.000003
5120,10,0.000197,0.000004,0.000198,0.000004
5120,8,0.000178,0.000005,0.000179,0.000006
5120,6,0.000176,0.000004,0.000176,0.000004
5120,4,0.000174,0.000006,0.000174,0.000006
5120,2,0.000180,0.000004,0.000181,0.000004
10240,-1,0.000410,0.000019,0.000411,0.000019
10240,100,0.001392,0.000009,0.001392,0.000009
10240,90,0.001393,0.000007,0.001393,0.000007
10240,80,0.001392,0.000008,0.001392,0.000009
10240,70,0.000882,0.000005,0.000882,0.000005
10240,60,0.000882,0.000006,0.000883,0.000006
10240,50,0.000880,0.000005,0.000880,0.000005
10240,40,0.000881,0.000005,0.000881,0.000005
10240,30,0.000598,0.000005,0.000598,0.000005
10240,28,0.000602,0.000008,0.000602,0.000008
10240,26,0.000598,0.000005,0.000598,0.000005
10240,24,0.000596,0.000004,0.000596,0.000004
10240,22,0.000599,0.000011,0.000600,0.000011
10240,20,0.000599,0.000007,0.000599,0.000007
10240,18,0.000449,0.000009,0.000449,0.000009
10240,16,0.000446,0.000007,0.000446,0.000007
10240,14,0.000447,0.000006,0.000447,0.000006
10240,12,0.000445,0.000007,0.000446,0.000006
10240,10,0.000448,0.000006,0.000448,0.000006
10240,8,0.000399,0.000006,0.000399,0.000006
10240,6,0.000398,0.000006,0.000398,0.000006
10240,4,0.000399,0.000007,0.000399,0.000007
10240,2,0.000401,0.000008,0.000401,0.000009
20480,-1,0.000892,0.000023,0.000893,0.000023
20480,100,0.002841,0.000012,0.002841,0.000012
20480,90,0.002839,0.000013,0.002840,0.000013
20480,80,0.002844,0.000017,0.002844,0.000017
20480,70,0.001827,0.000007,0.001829,0.000016
20480,60,0.001830,0.000008,0.001830,0.000008
20480,50,0.001829,0.000009,0.001829,0.000009
20480,40,0.001854,0.000016,0.001855,0.000016
20480,30,0.001286,0.000013,0.001286,0.000013
20480,28,0.001285,0.000018,0.001285,0.000018
20480,26,0.001280,0.000010,0.001280,0.000010
20480,24,0.001277,0.000008,0.001278,0.000012
20480,22,0.001275,0.000007,0.001276,0.000007
20480,20,0.001274,0.000007,0.001274,0.000007
20480,18,0.000977,0.000016,0.000977,0.000016
20480,16,0.000993,0.000015,0.000993,0.000015
20480,14,0.000994,0.000012,0.000994,0.000012
20480,12,0.000988,0.000012,0.000988,0.000012
20480,10,0.000991,0.000011,0.000992,0.000011
20480,8,0.000888,0.000011,0.000888,0.000011
20480,6,0.000896,0.000023,0.000897,0.000023
20480,4,0.000899,0.000017,0.000900,0.000017
20480,2,0.000888,0.000017,0.000889,0.000017
40960,-1,0.001959,0.000032,0.001960,0.000032
40960,100,0.005963,0.000068,0.005963,0.000068
